model,count,sum,mean,fail_rate
HGST HDS5C4040ALE630,3615,0,0.0,0.0
HGST HDS724040ALE640,2080,0,0.0,0.0
HGST HMS5C4040ALE640,368077,2,5.433645677399022e-06,0.5433645677399023
HGST HMS5C4040BLE640,186832,1,5.35240215808855e-06,0.535240215808855
HGST HUH728080ALE600,2340,0,0.0,0.0
Hitachi HDS5C3030ALA630,236690,5,2.1124677848662806e-05,2.1124677848662805
Hitachi HDS5C3030BLE630,52,0,0.0,0.0
Hitachi HDS5C4040ALE630,136969,4,2.9203688425848186e-05,2.9203688425848187
Hitachi HDS722020ALA330,224052,13,5.8022244836020206e-05,5.8022244836020205
Hitachi HDS723020BLA642,356,0,0.0,0.0
Hitachi HDS723030ALA640,51940,0,0.0,0.0
Hitachi HDS723030BLE640,468,0,0.0,0.0
Hitachi HDS724040ALE640,156,0,0.0,0.0
Hitachi HDT725025VLA380,51,0,0.0,0.0
SAMSUNG HD154UI,6,0,0.0,0.0
ST2000VN000,284,0,0.0,0.0
ST250LM004 HN,1683,0,0.0,0.0
ST250LT007,148,0,0.0,0.0
ST31500341AS,16,0,0.0,0.0
ST31500541AS,4428,0,0.0,0.0
ST3160316AS,2480,1,0.0004032258064516129,40.32258064516129
ST3160318AS,2299,2,0.0008699434536755111,86.9943453675511
ST320LT007,2687,15,0.005582433941198363,558.2433941198362
ST3500320AS,52,0,0.0,0.0
ST4000DM000,1681473,139,8.266561520761855e-05,8.266561520761856
ST4000DX000,10847,2,0.00018438277864847423,18.43827786484742
ST4000DX002,60,0,0.0,0.0
ST500LM012 HN,31412,0,0.0,0.0
ST6000DX000,97864,2,2.043652415597155e-05,2.043652415597155
ST9250315AS,2686,1,0.00037230081906180194,37.230081906180196
ST9320325AS,1134,0,0.0,0.0
TOSHIBA DT01ACA300,2435,1,0.0004106776180698152,41.067761806981515
TOSHIBA MD04ABA400V,7570,0,0.0,0.0
TOSHIBA MD04ABA500V,2340,1,0.00042735042735042735,42.73504273504273
WDC WD1001FALS,2,0,0.0,0.0
WDC WD10EACS,249,0,0.0,0.0
WDC WD10EADS,1342,2,0.0014903129657228018,149.03129657228018
WDC WD10EADX,40,0,0.0,0.0
WDC WD10EALS,5,0,0.0,0.0
WDC WD10EARS,18,0,0.0,0.0
WDC WD10EARX,6,0,0.0,0.0
WDC WD15EARS,6,0,0.0,0.0
WDC WD1600AAJB,195,2,0.010256410256410256,1025.6410256410256
WDC WD1600AAJS,5003,2,0.0003997601439136518,39.97601439136518
WDC WD1600BPVT,67,0,0.0,0.0
WDC WD20EFRX,6871,3,0.00043661766846165044,43.661766846165044
WDC WD2500AAJB,52,0,0.0,0.0
WDC WD2500AAJS,156,0,0.0,0.0
WDC WD2500BEVT,52,0,0.0,0.0
WDC WD2500BPVT,407,0,0.0,0.0
WDC WD30EFRX,54686,6,0.0001097172951029514,10.97172951029514
WDC WD3200AAJB,44,0,0.0,0.0
WDC WD3200AAJS,134,0,0.0,0.0
WDC WD3200AAKS,52,0,0.0,0.0
WDC WD3200BEKT,32,1,0.03125,3125.0
WDC WD3200BEKX,534,1,0.0018726591760299626,187.26591760299627
WDC WD3200LPVX,37,0,0.0,0.0
WDC WD40EFRX,2392,0,0.0,0.0
WDC WD5000BPKT,1248,0,0.0,0.0
WDC WD5000LPVX,14706,0,0.0,0.0
WDC WD5002ABYS,255,0,0.0,0.0
WDC WD5003ABYX,98,0,0.0,0.0
WDC WD60EFRX,23816,1,4.1988579106483035e-05,4.198857910648304
WDC WD800AAJB,200,1,0.005,500.0
WDC WD800AAJS,708,6,0.00847457627118644,847.457627118644
WDC WD800BB,138,1,0.007246376811594203,724.6376811594203
WDC WD800JB,118,0,0.0,0.0
WDC WD800JD,22,0,0.0,0.0
WDC WD800LB,22,0,0.0,0.0
